idx,title,authors,source,year,scopusUrl
91,"Navigating crypto markets: financial literacy, behavior and information channels",Ruiz J.R.,International Journal of Bank Marketing,2026,https://scopus.unalproxy.elogim.com/pages/publications/105041087530?origin=resultslist
92,Market Regime Forecasting Across Horizons: When Transition Detection Matters More Than Accuracy,"Sanchez-Fernandez A., Perez H., Huerga-Perez N., Diez-Gonzalez J.","Communications in Computer and Information Science, 3046 CCIS",2026,https://scopus.unalproxy.elogim.com/pages/publications/105042816397?origin=resultslist
93,Dynamic q-dependent cross-correlation test for investment classification and its application on green finance,Acikgoz T.,"North American Journal of Economics and Finance, 81, 102535",2026,https://scopus.unalproxy.elogim.com/pages/publications/105014959387?origin=resultslist
94,Climate Risk Modeling in the Digital Age: New Approaches for Financial Institutions,"Andrianov A.Y., Ivanov V.V., Nurmukhametov R.K.","Communications in Computer and Information Science, 2868 CCIS",2026,https://scopus.unalproxy.elogim.com/pages/publications/105038860257?origin=resultslist
95,Phenomenological Semantic Factor Method for Risk Management of Complex Systems in Drifting,"Rodionov D., Polyakov P., Konnikov E.","Big Data and Cognitive Computing, 10(1), 21",2026,https://scopus.unalproxy.elogim.com/pages/publications/105028478186?origin=resultslist
96,The risk quadrangle in optimization: An overview with recent results and extensions,"Grechuk B., Malandii A., Rockafellar R.T., Uryasev S.","Euro Journal on Computational Optimization, 14, 100129",2026,https://scopus.unalproxy.elogim.com/pages/publications/105041059055?origin=resultslist
97,A methodology for assessing the risk resistance of regions with account of the risk complexity of companies (a case study of mining operations) | Методология оценивания рискоустойчивости регионов с учетом рискоемкости компаний (на примере горнодобывающих),"Zubov A.O., Bardulin E.N., Mazhazhikhov A.A., Shapiro N.A., Yakovleva A.V.","Gornaya Promyshlennost, 2026(1)",2026,https://scopus.unalproxy.elogim.com/pages/publications/105032459775?origin=resultslist
98,Upstream Dynamics: Navigating the Economics of Petroleum Exploration and Production,Al-Sajari S.F.,Upstream Dynamics Navigating the Economics of Petroleum Exploration and Production,2026,https://scopus.unalproxy.elogim.com/pages/publications/105040893046?origin=resultslist
99,An AI-Enhanced Enterprise Project Management Framework for Predictive Analytics and Intelligent Decision Support,"Doughman E., Dwairi H., Alenzi M., Zahid M.",2026 International Conference on Artificial Intelligence for Sustainable Engineering and Innovation Aisei 2026,2026,https://scopus.unalproxy.elogim.com/pages/publications/105044307759?origin=resultslist
100,A Hierarchical Business Model for Translating Digital Twins: A Case Study for Health Care Applications From Research to Market,"Nisar S.A., Arulkumar R., Jones B., Banerjee D.","ASME Open Journal of Engineering, 5",2026,https://scopus.unalproxy.elogim.com/pages/publications/105040238151?origin=resultslist
101,Change-Point Detection in Financial Time Series Using the PELT Algorithm: Simulation Optimization and Empirical Analysis,Jia R.,Proceedings of 2025 8th International Conference on Computer Information Science and Artificial Intelligence Cisai 2025,2025,https://scopus.unalproxy.elogim.com/pages/publications/105026343941?origin=resultslist
102,Financial risk profiling of millennials,"Mohta A., Shunmugasundaram V.","Global Knowledge Memory and Communication, 74(9-10)",2025,https://scopus.unalproxy.elogim.com/pages/publications/85187132782?origin=resultslist
103,How Does Loss Aversion Mediate the Relationship Between Personality Traits and Efficiency of Skills in Investment Decision-Making?,"Jayawardena A.M.A., Nanayakkara N.S.","International Review of Management and Marketing, 15(1)",2025,https://scopus.unalproxy.elogim.com/pages/publications/85212285416?origin=resultslist
104,The impact of behavioral biases on financial satisfaction: the mediating role of investment decisions,"Sharma V., Kumar R., Jain J., Kaur M.","International Review of Economics, 72(2), 27",2025,https://scopus.unalproxy.elogim.com/pages/publications/105011184377?origin=resultslist
105,A portfolio-focused behavioral model linking financial literacy and risk tolerance: Evidence from mutual fund investors in Türkiye,"Hamurcu C., Hazar A., Babuscu S.","Borsa Istanbul Review, 25",2025,https://scopus.unalproxy.elogim.com/pages/publications/105015518067?origin=resultslist
106,The Influence of Investor Sentiment on the South African Property Market: A Comparative Assessment of JSE Indices,"Nel C., Moodley F., Ferreira-Schenk S.","International Journal of Financial Studies, 13(4), 231",2025,https://scopus.unalproxy.elogim.com/pages/publications/105025810599?origin=resultslist
107,Sustainable investing through a gendered lens: the role of locus of control and risk perception,"Verma V., Singh P., Tiwari R., Pandey D.C.","Journal of Financial Services Marketing, 30(4), 27",2025,https://scopus.unalproxy.elogim.com/pages/publications/105018889412?origin=resultslist
108,Unveiling the attitudinal factors: an integration of TPB and SCT in understanding investor intention towards equity investments,"Singh A., Goel U., Kumar S., Johri A.","Humanities and Social Sciences Communications, 12(1), 1516",2025,https://scopus.unalproxy.elogim.com/pages/publications/105017610163?origin=resultslist
109,To label or not? A choice experiment testing whether labelled green bonds matter to retail investors,"Saravade V., Weber O., Vitalis A.","Humanities and Social Sciences Communications, 12(1), 82",2025,https://scopus.unalproxy.elogim.com/pages/publications/85218111254?origin=resultslist
110,Artificial intelligence in behavioral finance: a global review of cognitive bias modeling in investor decision-making,"Seker S.E., Icke B.T., Yanik S., ... Icke M.A., Kozol E.","SN Business and Economics, 5(12), 217",2025,https://scopus.unalproxy.elogim.com/pages/publications/105022726796?origin=resultslist
111,Mutual fund investment in Nepal and its dual analysis of economic impact and investor behavior,"Upadhyaya Y.M., Ghimire S.R., Kharel K.R.","Discover Sustainability, 6(1), 1395",2025,https://scopus.unalproxy.elogim.com/pages/publications/105025209253?origin=resultslist
112,Investor negativity derived from news shapes firm distress dynamics under bounded rationality,"Pham X.T.T., Huynh D.T., Nguyen N.T.K., Luu T.B.","Journal of Economics and Development, 27(4)",2025,https://scopus.unalproxy.elogim.com/pages/publications/105024482441?origin=resultslist
